TYPENAME,,0DimWD,,Dimension,,,,,,
,,Definition,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,
PROPERTY,,DisplayText,,Name,,Dimension.Name,,,,
PROPERTY,,Dimension,,Width,,Dimension.Height,,,,
PROPERTY,,Dimension,,Depth,,Dimension.Depth,,,,
,,Presets,,,,,,,,9
TAGPATHS,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Dimension.Name,Dimension.Height,Dimension.Depth,DataType=ParentCategoryPath,#REF!
PRESET,,0DimHD-0inW-0inD,,0DimHD,,0in x 0in,0in,0in,,X
PRESET,,0DimHD-4inW-0inD,,0DimHD,,4in x 0in,4in,0in,,X
PRESET,,0DimHD-4inW-1inD,,0DimHD,,4in x 1in,4in,1in,,X
PRESET,,0DimHD-4inW-2inD,,0DimHD,,4in x 2in,4in,2in,,X
PRESET,,0DimHD-4inW-3inD,,0DimHD,,4in x 3in,4in,3in,,X
PRESET,,0DimHD-4inW-3.5inD,,0DimHD,,4in x 3.5in,4in,3.5in,,X
PRESET,,0DimHD-4inW-4inD,,0DimHD,,4in x 4in,4in,4in,,X
PRESET,,0DimHD-6inW-0inD,,0DimHD,,6in x 0in,6in,0in,,X
PRESET,,0DimHD-6inW-4inD,,0DimHD,,6in x 4in,6in,4in,,X
